       w1         w2         w3   Data Height 
    43.331      6.928      0.538      1129325 
    43.326      7.093      0.540      2215314 
    43.331      2.311      0.541       394622 
    43.376      2.597      0.540       162169 
    43.314      0.107      0.539      1280954 
    39.592      8.574      2.595       722900 
    39.585      8.577      3.017       423281 
    39.579      4.753      2.596       240755 
    39.608      4.752      3.019       129185 
    39.619      2.593      2.592      7237408 
    39.580      2.591      3.019      3554948 
    39.579      3.019      2.594      5348431 
    39.516      3.015      3.015      5029934 
    39.573      7.305      2.594      1183473 
    39.561      7.301      3.022       650374 
    39.546      6.830      2.593       604289 
    39.600      6.831      3.022       382000 
    39.571      8.385      2.593       985536 
    39.576      8.387      3.021      1097092 
    39.617      3.893      2.597       198000 
    54.572      8.371      4.531      1452921 
    54.620      2.767      4.540      2910519 
    54.609      9.011      4.540       800205 
    54.614      0.854      4.538      2844140 
    38.735      8.386      2.745      1719123 
    38.731      8.389      2.794      1870222 
    38.722      4.541      2.745      1037598 
    38.749      4.543      2.791       900445 
    38.737      7.623      2.746      1207572 
    38.722      7.617      2.799      1201742 
    38.735      6.929      2.746       551286 
    38.725      6.937      2.792       682267 
    38.732      9.013      2.743       361960 
    38.722      9.015      2.800       311198 
    38.792      1.736      2.749       175002 
    38.738      1.741      2.803       275606 
    38.817      1.923      2.735       192492 
    38.697      1.944      2.798       141551 
    38.721      0.850      2.745       624349 
    38.692      0.852      2.802       689840 
    54.658      9.012      4.641      1134279 
    54.647      2.836      4.641      2577461 
    54.572      2.918      4.637      1640278 
    54.604      7.486      4.637       232422 
    54.647      7.127      4.642       247639 
    54.656      8.156      4.641      1449445 
    54.719      1.477      4.642       231947 
    54.768      7.771      4.646       196369 
    38.216      9.016      2.834       926077 
