       w1         w2         w3   Data Height 
   121.122      0.885      8.700      3570145 
   121.119      4.869      8.700      8942590 
   121.124      2.169      8.699       548779 
   121.125      0.549      8.700      3521158 
   121.123      5.381      8.700      1862304 
   121.125      3.705      8.700      4998288 
   121.101      0.693      8.702       718092 
   126.156      0.545      8.669       446482 
   126.142      5.379      8.665      6476516 
   126.144      3.701      8.666      1324910 
   126.069      5.258      8.662      1387680 
   126.104      3.301      8.668       790633 
   126.125      7.675      8.662       730695 
   126.156      8.232      8.651       758101 
   126.126      4.955      8.663       713523 
   126.140      4.538      8.668       335984 
   126.149      2.626      8.665      1516930 
   117.319      8.537      8.874      1125726 
   117.336      3.566      8.879       794081 
   117.318      4.532      8.875       890361 
   117.346      8.626      8.875       905177 
   117.331      5.267      8.874      4828991 
   117.330      2.630      8.875      3162724 
   117.331      3.297      8.875      5436360 
   117.330      8.873      8.874     39425152 
   117.333      4.156      8.875      3704303 
   117.329      2.131      8.874      5958252 
   117.332      2.285      8.874      5155680 
   117.362      1.128      8.871       525136 
   117.357      8.210      8.872       472733 
   111.913      3.294      8.791       286886 
   111.896      4.154      8.788       699123 
   111.886      4.457      8.788      1626361 
   111.914      4.329      8.781      1011447 
   111.895      8.204      8.786      4685932 
   111.865      3.605      8.790       354928 
   111.891      7.669      8.785       882851 
   110.419      4.165      8.204      1327033 
   110.405      2.135      8.210       384561 
   110.403      8.783      8.205      8151786 
   110.403      4.445      8.204      2322564 
   110.398      1.130      8.203      1035571 
   110.404      8.205      8.205     59227392 
   110.407      3.599      8.205      7284164 
   110.413      7.666      8.205      7195820 
   110.400      2.629      8.206       907485 
   110.407      4.333      8.205      5391502 
   122.304      5.389      7.661       376983 
   122.314      8.663      7.667      1428019 
   122.319      8.790      7.668      1570783 
   122.292      4.444      7.666       768631 
   122.327      1.128      7.669       503209 
   122.307      3.595      7.668      1814847 
   122.327      4.333      7.666      2202886 
   122.306      4.553      7.667      3824463 
   122.308      8.206      7.667      8116043 
